Client code,Project type,Adjusted function points,First estimate (Hours),First estimate method,Actual effort (Hours),Actual duration (Days)
C1,Unk,101.65,495,EO,485,107
C1,D,57.12,1365,A,990,144
C1,D,1010.88,8244,EO,13635,604
C1,P,45.6,1595,D,1576,226
C1,D,1022.58,3828,A,3826,326
C1,P,77.04,879,EO,1079,294
C1,Unk,159.6,2895,EO,2224,212
C1,Unk,225.54,1800,A,1698,175
C1,P,144.72,1160,EO,1173,584
C1,D,84.42,885,EO,1401,171
C1,D,126.42,2125,EO,2170,201
C1,D,392.16,1381,EO,1122,195
C1,Unk,18.9,1142,D,1024,109
C1,P,112.14,1895,EO,1832,263
C1,Unk,210.08,1339,EO,1016,165
C1,D,260.95,447,EO,322,46
C2,D,609.7,507,EO,580,186
C2,D,169.85,952,EO,1003,189
C2,P,56,380,EO,380,95
C2,P,30,220,EO,220,53
C2,P,241.86,2879,EO,2356,365
C2,P,219.88,1483,EO,1388,438
C2,P,229.71,1667,EO,1066,109
C2,D,458.38,2125,A,2860,283
C2,P,177.63,1175,A,1143,137
C2,P,287.64,2213,A,1431,102
C2,P,343.54,2247,A,1868,103
C2,P,346.8,1926,A,2172,192
C2,D,1121.48,5641,EO,8509,219
C2,P,761.08,3928,EO,5927,484
C2,P,464,1995,A,2663,173
C2,P,203.01,2281,EO,1425,169
C2,P,550.14,3305,EO,3504,207
C2,P,86.45,797,EO,652,61
C2,P,1362.11,3922,A,7649,311
C2,P,681,6809,A,5927,418
C2,P,485.1,4955,A,6607,410
C2,Unk,172.96,1294,EO,2591,497
C2,P,2075.8,5688,EO,4494,259
C2,D,756.25,5245,EO,4824,234
C2,Unk,789.66,3930,EO,5094,462
C2,P,357,2562,EO,3088,291
C2,P,62.08,1526,C,892,116
C2,P,157.56,1018,EO,750,128
C2,D,322.62,5646,CAE,5646,185
C2,P,81.34,1532,EO,1532,207
C2,P,191,1532,EO,1280,151
C2,P,121.52,314,EO,313,99
C2,P,222.78,412,A,339,61
C2,P,113.52,738,EO,583,101
C2,Unk,15.36,763,EO,726,462
C2,P,320.12,1750,A,1939,133
C2,P,84.28,682,A,669,106
C2,P,248.88,1320,EO,1413,68
C2,P,616.32,3573,EO,4115,239
C2,P,515.07,2913,A,4009,330
C2,P,88.2,701,EO,630,37
C2,P,115.14,725,A,718,187
C2,P,63.84,1826,A,1584,329
C2,P,1015.98,5000,EO,5816,120
C2,P,359.64,2640,A,2037,85
C2,P,240.84,2534,A,1428,49
C2,P,285.12,2231,A,1252,152
C2,P,61.2,1000,EO,655,47
C2,Unk,287.28,1645,D,1318,148
C2,D,172,1067,EO,995,141
C2,D,144.06,2270,EO,2265,235
C2,D,108.64,656,EO,654,298
C2,Unk,165.36,121,A,718,99
C2,P,680.9,1685,EO,2029,127
C2,D,409.4,2350,EO,1650,163
C2,D,313.95,2308,EO,2223,316
C2,D,1136.34,7850,A,8600,388
C2,P,177,2004,EO,1884,152
C2,D,746.24,3715,W,5359,166
C2,P,274.92,1273,A,1159,114
C2,P,43.5,437,A,437,82
C2,D,54.75,813,EO,570,123
C2,P,130,900,EO,502,49
C2,P,525.96,2475,A,1877,183
C2,P,311.85,799,A,1693,149
C2,Unk,1185.08,2160,EO,3319,370
C2,D,258.24,1770,EO,1557,128
C2,P,60,760,EO,557,126
C2,P,303.52,2588,A,3050,200
C2,D,98.9,1148,A,1113,76
C2,P,711.9,4064,EO,5456,299
C2,D,182.4,933,EO,763,131
C2,Unk,351.9,2096,EO,2203,140
C2,P,401.98,3284,EO,3483,169
C2,P,162.61,4576,A,2393,130
C2,D,1210.99,14226,EO,15673,389
C2,D,156.42,6080,EO,2972,166
C2,P,603.58,4046,EO,4068,148
C2,P,73.92,649,EO,698,131
C2,P,121.55,817,EO,676,144
C2,Unk,1234.2,6340,EO,6307,369
C2,P,35,300,EO,219,155
C2,Unk,61.06,315,EO,254,102
C2,P,162,750,EO,324,149
C2,P,1285.7,898,EO,874,548
